ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"193.111.198.193","elite","AS24961","DE","myLoc managed IT AG","14","myLoc managed IT AG","54825","socks5","5006","2","2023-07-12T06:22:45.941Z","100","2851","2851"
"45.196.148.67","elite","AS7018","US","AT&T Services","86","AQUA Networks Limited","5432","socks4","4913","1","2023-07-12T06:22:45.944Z","97","2724","2802"
"85.25.93.172","elite","AS8972","FR","Host Europe GmbH","8","HE Mass","5566","socks4","3897","1","2023-07-12T06:22:45.940Z","97","2754","2825"
"222.241.144.17","elite","AS4134","CN","Chinanet","227","N/A","2080","socks5","5086","1","2023-07-12T06:22:40.546Z","44","1211","2766"
"85.143.173.198","elite","AS201848","RU","Trader soft LLC","47","Trader soft LLC","8444","socks5","4898","82","2023-07-12T06:22:40.647Z","99","2833","2861"
"89.25.23.210","elite","AS41313","BG","NOVATEL-AS","51","\"NOVATEL\" EOOD","4153","socks4","4601","1","2023-07-12T06:22:40.646Z","100","2857","2857"
"50.201.133.122","elite","AS7922","US","Comcast Cable Communications, LLC","99","Comcast Cable Communications, LLC","3355","socks4","4995","1","2023-07-12T06:22:40.550Z","100","2859","2862"
"103.47.93.246","elite","AS134058","IN","Broban Internet Services Pvt.ltd","198","Broban  PVT Ltd.","1080","socks4","3696","1","2023-07-12T06:22:40.542Z","99","2744","2773"
"64.225.28.9","elite","AS14061","US","DigitalOcean, LLC","79","DigitalOcean, LLC","52700","socks5","2486","1","2023-07-12T06:22:40.545Z","22","607","2729"
"38.127.173.249","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","55994","socks5","3905","1","2023-07-12T06:22:35.341Z","100","2772","2773"
"103.86.1.2","elite","AS136371","IN","Airwir Technologies Private Limited","189","Airwir Technologies Private Limited","4145","socks4","4901","1","2023-07-12T06:22:35.149Z","100","2820","2822"
"91.226.35.37","elite","AS56622","UA","DVS-Sat LLC","36","DVS-Sat LLC","5678","socks5","4898","1","2023-07-12T06:22:35.239Z","98","2805","2851"
"194.48.151.217","elite","AS204396","ES","OLVERA CA.T.V., S. COOP. AND.","81","OLVERA CA.T.V., S. COOP","5678","socks4","3808","1","2023-07-12T06:22:35.340Z","65","1824","2820"
"113.160.203.118","elite","AS45899","VN","VietNam Post and Telecom Corporation","298","Vietnam Posts and Telecommunications Group","5678","socks4","4296","86","2023-07-12T06:22:35.237Z","98","2792","2850"
